pair	j1	j2	class	g1r1alt	g1r1cons	g1r2alt	g1r2cons	g1r3alt	g1r3cons	g2r1alt	g2r1cons	g2r2alt	g2r2cons	g2r3alt	g2r3cons
AT3G59320-AT3G59330	2-3	1-2	+ALTD	0	55	0	29	0	61	9	111	9	74	4	106
AT3G59320-AT3G59330	2-3	1-2	+ALTA	0	55	0	29	0	61	7	113	14	69	13	97
AT3G59320-AT3G59330	2-3	1-2	-ALTA;+ALTD	0	55	0	29	0	61	3	117	7	76	7	103
AT3G59320-AT3G59330	2-3	1-2	+IR	11	44	7	22	8	53	101	19	53	30	86	24
AT3G59320-AT3G59330	3-4	2-3	+IR	20	45	25	32	34	64	0	66	0	50	0	66
AT3G59320-AT3G59330	4-5	3-4	+IR	1	53	2	30	3	52	0	31	0	37	0	88
AT3G59320-AT3G59330	4-5	3-4	+ALTA	0	54	0	32	0	55	5	26	5	32	27	61
AT3G59320-AT3G59330	5-6	4-5	+IR	0	57	0	34	0	65	1	46	1	43	6	82
AT3G59320-AT3G59330	5-6	4-5	+ALTD	9	48	4	30	8	57	0	47	0	44	0	88
AT1G61420-AT1G61460	3-4	4-5	+ALTA	9	4	5	0	7	5	0	3	0	6	0	9
AT3G51440-AT3G51450	1-2	1-2	+IR	0	4	0	10	0	12	20	137	53	139	38	169
AT3G51440-AT3G51450	3-4	3-4	+IR	3	4	4	10	3	10	0	132	0	299	0	272
AT3G49200-AT3G49210	1-2	1-2	+IR	0	0	0	0	0	0	9	13	3	14	1	18
AT3G49200-AT3G49210	2-3	2-3	+IR	0	0	0	0	0	1	4	23	3	9	7	15
AT2G24000-AT2G24010	7-8	7-8	+IR	0	0	0	0	0	0	1	4	1	7	2	22
AT3G61280-AT3G61290	5-6	4-5	+IR	3	16	2	36	5	31	0	0	0	0	0	0
AT1G29350-AT1G29370	1-2	1-2	+IR	5	388	4	476	4	828	5	287	4	388	3	664
AT1G29350-AT1G29370	2-3	2-3	+IR	0	285	0	390	0	612	3	280	2	359	1	560
AT1G29350-AT1G29370	4-5	4-5	+IR	0	116	0	126	0	215	1	118	1	131	4	260
AT1G29350-AT1G29370	5-6	5-6	+IR	7	274	3	311	5	498	0	240	0	250	0	409
AT1G29350-AT1G29370	7-8	7-8	+IR	0	299	0	338	0	539	2	305	1	331	1	581
AT1G29350-AT1G29370	7-8	7-8	-ALTA	43	256	59	279	129	410	49	258	67	265	135	447
AT1G29350-AT1G29370	8-9	8-9	+IR	2	359	1	364	10	617	2	363	1	334	10	591
AT1G29350-AT1G29370	9-10	9-10	+IR	1	323	3	349	4	590	1	390	2	416	4	749
AT2G43820-AT2G43840	1-2	1-2	-ALTD;+ALTA	0	215	0	436	0	420	1	3	7	1	14	3
AT2G43820-AT2G43840	1-2	1-2	+IR	12	203	28	408	36	384	3	1	1	7	3	14
AT2G32160-AT2G32170	1-2	1-2	+IR	11	313	12	299	14	483	0	179	0	228	0	389
AT2G32160-AT2G32170	8-9	9-10	+IR	21	263	11	250	12	344	0	122	0	126	0	213
AT2G32160-AT2G32170	9-10	10-11	+IR	3	245	13	181	5	273	0	110	0	105	0	152
AT2G32160-AT2G32170	9-10	10-11	-ALTA	0	248	0	194	0	278	110	0	105	0	151	1
AT2G32160-AT2G32170	10-11	11-12	+IR	24	163	20	125	20	184	0	131	0	142	0	205
AT2G32160-AT2G32170	11-12	12-13	+IR	78	298	50	238	36	319	20	266	9	214	15	330
AT2G32160-AT2G32170	12-13	13-14	+IR	95	305	56	297	67	443	0	174	0	195	0	281
AT2G32160-AT2G32170	12-13	13-14	-ALTA	4	396	1	352	1	509	7	167	6	189	16	265
AT2G32160-AT2G32170	13-14	14-15	+IR	21	307	21	283	12	398	0	236	0	259	0	337
AT2G32160-AT2G32170	13-14	14-15	-ALTA	31	297	20	284	30	380	0	236	0	259	0	337
AT5G06860-AT5G06870	1-2	1-2	+IR	0	0	0	0	0	0	24	426	67	1266	72	864
AT3G48050-AT3G48060	1-2	2-3	+ALTA	3	82	11	70	27	139	6	62	11	61	27	148
AT3G27070-AT3G27080	1-2	2-3	+IR	0	0	0	0	0	1	27	517	27	280	47	873
AT4G16940-AT4G16960	1-2	1-2	+IR	5	8	7	11	2	16	6	8	7	11	2	16
AT4G16940-AT4G16960	2-3	2-3	+IR	0	0	0	1	0	1	16	7	9	13	16	30
AT4G16940-AT4G16960	2-3	2-3	+ALTA;-ALTD	0	0	0	1	0	1	7	16	13	9	30	16
AT4G16940-AT4G16960	4-5	4-5	+IR	0	8	0	4	0	7	6	16	2	18	4	10
AT1G73450-AT1G73460	1-2	1-2	+IR	14	27	7	18	17	47	0	120	0	119	0	157
AT1G73450-AT1G73460	3-4	3-4	+IR	0	55	0	43	0	52	15	140	12	110	25	173
AT1G73450-AT1G73460	5-6	5-6	+IR	1	48	3	24	5	59	0	122	0	91	0	141
AT5G20470-AT5G20490	13-14	38-39	+IR	0	0	0	0	0	0	1	181	2	189	3	299
AT1G22430-AT1G22440	1-2	1-2	+IR	10	712	5	684	13	1238	0	0	0	0	0	0
AT1G22430-AT1G22440	1-2	1-2	-ALTD	5	717	1	688	1	1250	0	0	0	0	0	0
AT1G22430-AT1G22440	2-3	2-3	+IR	85	675	46	634	98	1149	0	0	0	0	0	0
AT1G22430-AT1G22440	2-3	2-3	+ALTA	29	731	27	653	48	1199	0	0	0	0	0	0
AT1G22430-AT1G22440	3-4	3-4	+IR	54	505	44	470	56	825	0	0	0	0	0	0
AT1G22430-AT1G22440	3-4	3-4	-ALTA	5	554	6	508	4	877	0	0	0	0	0	0
AT1G22430-AT1G22440	7-8	7-8	+IR	138	400	128	325	159	681	0	0	0	1	0	1
AT1G22430-AT1G22440	7-8	7-8	-ALTA	3	535	5	448	21	819	0	0	0	1	0	1
AT1G22430-AT1G22440	8-9	8-9	+IR	18	499	19	448	14	761	0	0	0	0	0	0
AT3G47890-AT3G47910	2-3	2-3	+IR	0	44	0	39	0	56	3	181	5	84	6	212
AT3G47890-AT3G47910	6-7	6-7	-ALTA	2	127	2	86	1	144	66	184	44	88	99	155
AT3G47890-AT3G47910	7-8	7-8	+IR	4	149	3	118	7	273	0	225	0	126	0	344
AT3G47890-AT3G47910	7-8	7-8	+ALTA	2	151	1	120	1	279	0	225	0	126	0	344
AT3G47890-AT3G47910	8-9	8-9	+IR	0	152	0	122	0	277	3	228	1	118	1	325
AT1G27940-AT1G28010	2-3	2-3	+IR	0	10	0	4	0	14	1	16	1	33	3	43
AT1G27940-AT1G28010	8-9	8-9	+IR	0	13	0	3	0	16	2	28	2	19	3	39
AT5G49760-AT5G49770	9-10	9-10	+IR	3	339	6	260	4	481	0	0	0	1	0	0
AT5G49760-AT5G49770	9-10	9-10	+ALTA	4	338	1	265	4	481	0	0	0	1	0	0
AT5G49760-AT5G49770	13-14	13-14	+IR	9	306	2	268	3	429	0	0	0	0	0	0
AT5G49760-AT5G49770	13-14	13-14	-ALTD	4	311	1	269	2	430	0	0	0	0	0	0
AT5G49760-AT5G49770	14-15	14-15	+IR	2	332	6	346	3	592	0	0	0	0	0	0
AT5G49760-AT5G49770	15-16	15-16	+IR	40	362	26	371	52	675	0	0	0	0	0	0
AT5G49760-AT5G49770	16-17	16-17	+IR	2	674	1	554	4	1139	0	0	0	0	0	0
AT5G49760-AT5G49770	18-19	18-19	+IR	6	698	2	534	6	1052	0	0	0	0	0	1
AT3G28480-AT3G28490	6-7	4-5	+IR	5	166	4	139	5	242	0	0	0	0	0	0
AT3G28480-AT3G28490	6-7	4-5	+ALTA	3	168	7	136	3	244	0	0	0	0	0	0
AT3G28480-AT3G28490	8-9	6-7	+IR	1	188	2	180	5	305	0	0	0	0	0	0
AT5G27120-AT5G27140	5-6	4-5	+IR	10	258	3	135	8	522	0	0	0	0	0	0
AT4G15760-AT4G15765	1-2	1-2	+IR	8	176	8	640	19	425	11	4	7	17	9	12
AT4G21903-AT4G21910	1-2	1-2	+IR	0	0	0	2	0	1	8	71	7	65	10	119
AT4G21903-AT4G21910	1-2	1-2	-ALTA	0	0	0	2	0	1	13	66	9	63	7	122
AT4G21903-AT4G21910	4-5	4-5	+IR	0	1	0	6	0	2	4	393	2	316	1	640
AT4G21903-AT4G21910	6-7	6-7	+IR	0	6	0	1	0	5	2	418	4	382	7	769
AT4G21903-AT4G21910	6-7	6-7	-ALTD	6	0	1	0	5	0	418	2	382	4	769	7
AT1G27110-AT1G27150	2-3	1-2	+IR	0	2	0	3	0	9	10	88	18	156	10	199
AT1G14870-AT1G14880	1-2	1-2	+IR	16	90	7	87	11	127	0	172	0	101	0	214
AT1G14870-AT1G14880	2-3	2-3	+IR	8	165	11	193	20	215	0	219	0	142	0	244
AT1G14870-AT1G14880	3-4	3-4	+IR	9	120	5	116	9	117	3	263	2	132	2	221
AT5G23010-AT5G23020	1-2	1-2	+IR	50	1660	19	1788	40	2554	3	72	7	88	4	72
AT5G23010-AT5G23020	2-3	2-3	+ALTA	12	1528	9	1628	15	2374	0	123	0	117	0	89
AT5G23010-AT5G23020	2-3	2-3	+ALTD	1	1539	1	1636	2	2387	0	123	0	117	0	89
AT5G23010-AT5G23020	2-3	2-3	+IR	73	1467	55	1582	128	2261	3	120	1	116	2	87
AT5G23010-AT5G23020	3-4	3-4	+IR	25	3293	14	3808	41	5828	0	122	0	155	0	119
