pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT2G47650-AT3G62830,6-7,6-7,-ALTA,278,1,315,0,494,2,0,252,0,235,0,413,ALTA,AT2G47650,AT3G62830,AT2G47650-AT3G628306-7-ALTA,3,1087,900,0,one,362.333333333333
AT2G21230-AT4G38900,2-3,2-3,-ALTA,0,133,0,151,0,248,183,0,223,1,310,2,ALTA,AT2G21230,AT4G38900,AT2G21230-AT4G389002-3-ALTA,532,0,3,716,one,238.666666666667
AT4G12600-AT4G22380,1-2,1-2,-ALTD,2167,13,1121,2,3662,22,0,196,0,192,0,429,ALTD,AT4G12600,AT4G22380,AT4G12600-AT4G223801-2-ALTD,37,6950,817,0,one,187.837837837838
AT1G53730-AT3G14350,14-15,14-15,-ALTA,250,0,238,3,414,2,0,484,0,458,0,826,ALTA,AT1G53730,AT3G14350,AT1G53730-AT3G1435014-15-ALTA,5,902,1768,0,one,180.4
AT2G46170-AT3G61560,3-4,3-4,-ALTA,0,781,0,405,0,968,96,0,83,0,101,2,ALTA,AT2G46170,AT3G61560,AT2G46170-AT3G615603-4-ALTA,2154,0,2,280,one,140
AT1G06250-AT2G31100,2-3,2-3,+IR,39,0,25,0,60,1,0,0,0,0,0,4,IR,AT1G06250,AT2G31100,AT1G06250-AT2G311002-3+IR,1,124,4,0,one,124
AT1G11930-AT4G26860,6-7,6-7,-ALTA,702,1,615,5,1132,15,0,994,0,876,0,1611,ALTA,AT1G11930,AT4G26860,AT1G11930-AT4G268606-7-ALTA,21,2449,3481,0,one,116.619047619048
AT1G07420-AT2G29390,5-6,5-6,-ALTA,0,159,0,164,0,208,253,2,266,4,412,2,ALTA,AT1G07420,AT2G29390,AT1G07420-AT2G293905-6-ALTA,531,0,8,931,one,116.375
AT4G25440-AT5G51980,9-10,8-9,-ALTA,0,113,0,104,0,164,92,0,86,1,141,2,ALTA,AT4G25440,AT5G51980,AT4G25440-AT5G519809-10-ALTA,381,0,3,319,one,106.333333333333
AT3G10340-AT5G04230,2-3,2-3,-ALTD,0,18,0,22,0,42,189,3,139,1,307,4,ALTD,AT3G10340,AT5G04230,AT3G10340-AT5G042302-3-ALTD,82,0,8,635,one,79.375
AT2G24500-AT4G31420,3-4,3-4,-ALTA,0,325,0,248,0,604,99,2,146,3,189,1,ALTA,AT2G24500,AT4G31420,AT2G24500-AT4G314203-4-ALTA,1177,0,6,434,one,72.3333333333333
AT1G45545-AT5G42880,1-2,2-3,+IR,26,0,11,0,32,1,0,8,0,10,0,10,IR,AT1G45545,AT5G42880,AT1G45545-AT5G428801-2+IR,1,69,28,0,one,69
AT5G09900-AT5G64760,9-10,9-10,-ALTD,785,12,759,10,1347,23,0,121,0,143,0,236,ALTD,AT5G09900,AT5G64760,AT5G09900-AT5G647609-10-ALTD,45,2891,500,0,one,64.2444444444444
AT3G12320-AT5G06980,5-6,5-6,-ALTA,0,955,0,558,0,1539,977,16,712,20,1598,20,ALTA,AT3G12320,AT5G06980,AT3G12320-AT5G069805-6-ALTA,3052,0,56,3287,one,58.6964285714286
AT3G02310-AT5G15800,6-7,6-7,-ALTA,0,1,0,0,0,1,32,0,7,0,17,1,ALTA,AT3G02310,AT5G15800,AT3G02310-AT5G158006-7-ALTA,2,0,1,56,one,56
AT3G50500-AT5G66880,5-6,5-6,-ALTD,589,17,942,16,1048,24,0,150,0,283,0,266,ALTD,AT3G50500,AT5G66880,AT3G50500-AT5G668805-6-ALTD,57,2579,699,0,one,45.2456140350877
AT3G05830-AT5G26770,4-5,4-5,-ALTA,50,0,43,1,116,4,0,63,0,77,0,127,ALTA,AT3G05830,AT5G26770,AT3G05830-AT5G267704-5-ALTA,5,209,267,0,one,41.8
AT1G31120-AT2G35060,2-3,3-4,-ALTD,0,30,0,28,0,50,237,10,236,3,360,9,ALTD,AT1G31120,AT2G35060,AT1G31120-AT2G350602-3-ALTD,108,0,22,833,one,37.8636363636364
AT1G52360-AT3G15980,11-12,11-12,-ALTA,0,264,0,248,0,490,156,6,163,3,325,9,ALTA,AT1G52360,AT3G15980,AT1G52360-AT3G1598011-12-ALTA,1002,0,18,644,one,35.7777777777778
AT1G11180-AT1G61250,2-3,2-3,-ALTA,106,3,175,3,216,10,0,467,0,646,0,1003,ALTA,AT1G11180,AT1G61250,AT1G11180-AT1G612502-3-ALTA,16,497,2116,0,one,31.0625
AT4G19230-AT5G45340,6-7,5-6,-ALTD,5,0,8,1,17,0,0,9,0,59,0,78,ALTD,AT4G19230,AT5G45340,AT4G19230-AT5G453406-7-ALTD,1,30,146,0,one,30
AT2G43500-AT3G59580,6-7,4-5,-ALTD,49,0,75,4,98,4,0,19,0,19,0,41,ALTD,AT2G43500,AT3G59580,AT2G43500-AT3G595806-7-ALTD,8,222,79,0,one,27.75
AT2G24300-AT4G31000,4-5,4-5,+IR,0,22,0,8,0,18,105,5,101,2,178,7,IR,AT2G24300,AT4G31000,AT2G24300-AT4G310004-5+IR,48,0,14,384,one,27.4285714285714
AT1G54080-AT3G14100,6-7,6-7,-ALTA,684,32,611,18,1149,42,0,421,0,475,0,692,ALTA,AT1G54080,AT3G14100,AT1G54080-AT3G141006-7-ALTA,92,2444,1588,0,one,26.5652173913043
AT2G37280-AT3G53480,12-13,12-13,+IR,0,1,0,1,0,0,13,1,4,0,8,0,IR,AT2G37280,AT3G53480,AT2G37280-AT3G5348012-13+IR,2,0,1,25,one,25
