pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT1G11930-AT4G26860,5-6,5-6,-ALTA,1,623,1,605,14,1065,875,16,841,5,1475,8,ALTA,AT1G11930,AT4G26860,AT1G11930-AT4G268605-6-ALTA,2293,16,29,3191,both,110.027505000226
AT3G46130-AT5G59780,1-2,1-2,+IR,444,19,189,11,791,16,758,226,373,125,1077,291,IR,AT3G46130,AT5G59780,AT3G46130-AT5G597801-2+IR,46,1424,642,2208,both,27.5172694026818
AT3G04010-AT5G18220,1-2,1-2,+IR,3,2,1,6,1,7,10,0,2,0,7,1,IR,AT3G04010,AT5G18220,AT3G04010-AT5G182201-2+IR,15,5,1,19,both,18.6666666666667
AT1G20100-AT1G75860,1-2,1-2,+IR,709,88,607,76,1028,108,517,34,400,15,753,17,IR,AT1G20100,AT1G75860,AT1G20100-AT1G758601-2+IR,272,2344,66,1670,both,16.6853832442068
AT1G18200-AT1G73640,2-3,1-2,+IR,68,3,37,4,60,4,1,10,2,7,4,24,IR,AT1G18200,AT1G73640,AT1G18200-AT1G736402-3+IR,11,165,41,7,both,14.8292682926829
AT1G22490-AT1G72210,1-2,1-2,+IR,1,8,18,31,7,21,6,0,5,2,29,2,IR,AT1G22490,AT1G72210,AT1G22490-AT1G722101-2+IR,60,26,4,40,both,9.56666666666667
AT2G26060-AT4G32990,8-9,8-9,+IR,11,193,4,129,13,199,33,2,43,10,83,5,IR,AT2G26060,AT4G32990,AT2G26060-AT4G329908-9+IR,521,28,17,159,both,9.29919837416733
AT1G15970-AT1G80850,1-2,1-2,+IR,11,87,3,58,14,110,123,21,58,21,148,41,IR,AT1G15970,AT1G80850,AT1G15970-AT1G808501-2+IR,255,28,83,329,both,3.85405150011812
AT1G16060-AT1G79700,7-8,7-8,+IR,12,20,13,18,14,31,158,33,491,100,301,98,IR,AT1G16060,AT1G79700,AT1G16060-AT1G797007-8+IR,69,39,231,950,both,3.54733672124977
AT4G24810-AT5G50330,7-8,7-8,+IR,40,236,9,155,29,340,28,3,22,15,35,21,IR,AT4G24810,AT5G50330,AT4G24810-AT5G503307-8+IR,731,78,39,85,both,2.07278403311235
AT2G46610-AT3G61860,2-3,2-3,+IR,118,54,126,40,206,75,266,269,186,319,368,490,IR,AT2G46610,AT3G61860,AT2G46610-AT3G618602-3+IR,169,450,1078,820,both,1.90205398996608
AT3G24120-AT4G13640,5-6,5-6,-ALTA,166,36,238,47,259,92,169,18,269,41,394,89,ALTA,AT3G24120,AT4G13640,AT3G24120-AT4G136405-6-ALTA,175,663,148,832,both,1.83305019305019
AT1G55310-AT3G13570,5-6,4-5,-ALTA,138,76,124,80,207,106,1,251,4,252,9,465,ALTA,AT1G55310,AT3G13570,AT1G55310-AT3G135705-6-ALTA,262,469,968,14,both,1.77561352596051
AT3G02990-AT5G16820,1-2,1-2,+IR,31,9,16,16,29,20,6,128,5,192,16,197,IR,AT3G02990,AT5G16820,AT3G02990-AT5G168201-2+IR,45,76,517,27,both,1.63666451751558
AT1G03290-AT4G02880,3-4,3-4,-ALTA,4,76,4,100,6,120,47,13,25,18,53,47,ALTA,AT1G03290,AT4G02880,AT1G03290-AT4G028803-4-ALTA,296,14,78,125,both,1.55526680526681
AT2G44430-AT3G60110,1-2,1-2,+IR,71,26,68,43,121,73,3,13,10,15,3,26,IR,AT2G44430,AT3G60110,AT2G44430-AT3G601101-2+IR,142,260,54,16,both,1.53468961919666
