pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT5G10440-AT5G65420,5-6,6-7,+IR,4,4,5,7,2,11,8,3,2,2,8,16,IR,AT5G10440,AT5G65420,AT5G10440-AT5G654205-6+IR,22,11,21,18,both,0.357142857142857
AT3G11570-AT5G06230,2-3,2-3,+IR,6,4,10,9,15,11,2,0,2,0,2,6,IR,AT3G11570,AT5G06230,AT3G11570-AT5G062302-3+IR,24,31,6,6,both,0.291666666666667
AT3G22930-AT4G14640,2-3,3-4,+IR,1,16,5,9,3,19,6,4,2,6,3,13,IR,AT3G22930,AT4G14640,AT3G22930-AT4G146402-3+IR,44,9,23,11,both,0.273715415019763
AT1G20550-AT1G76270,6-7,5-6,-ALTD,5,6,4,11,3,17,6,21,8,13,5,44,ALTD,AT1G20550,AT1G76270,AT1G20550-AT1G762706-7-ALTD,34,12,78,19,both,0.109351432880845
AT1G22330-AT1G78260,2-3,2-3,+IR,61,101,108,110,81,190,4,5,5,9,9,21,IR,AT1G22330,AT1G78260,AT1G22330-AT1G782602-3+IR,401,250,35,18,both,0.109155682223014
AT2G22840-AT4G37740,3-4,3-4,+IR,3,47,17,46,20,69,2,33,1,10,8,35,IR,AT2G22840,AT4G37740,AT2G22840-AT4G377403-4+IR,162,40,78,11,both,0.105887939221273
AT3G07190-AT5G48660,1-2,1-2,+IR,33,69,19,91,36,117,21,48,19,40,22,64,IR,AT3G07190,AT5G48660,AT3G07190-AT5G486601-2+IR,277,88,152,62,both,0.0902052061561847
AT2G36400-AT3G52910,3-4,3-4,+IR,7,30,33,63,20,29,11,18,8,15,24,42,IR,AT2G36400,AT3G52910,AT2G36400-AT3G529103-4+IR,122,60,75,43,both,0.0815300546448088
AT2G44430-AT3G60110,2-3,2-3,+IR,2,56,2,40,10,66,2,22,3,18,5,21,IR,AT2G44430,AT3G60110,AT2G44430-AT3G601102-3+IR,162,14,61,10,both,0.0775146731430884
AT1G16060-AT1G79700,6-7,6-7,+IR,1,18,2,21,2,35,13,61,29,175,11,146,IR,AT1G16060,AT1G79700,AT1G16060-AT1G797006-7+IR,74,5,382,53,both,0.0711758879298146
AT1G10850-AT1G60630,1-2,1-2,+IR,1,39,1,44,4,76,2,7,1,10,1,22,IR,AT1G10850,AT1G60630,AT1G10850-AT1G606301-2+IR,159,6,39,4,both,0.0648282535074988
AT3G27560-AT5G40540,1-2,1-2,+IR,9,87,11,107,17,165,1,15,3,16,7,36,IR,AT3G27560,AT5G40540,AT3G27560-AT5G405401-2+IR,359,37,67,11,both,0.0611150376252443
AT1G12320-AT1G62840,1-2,1-2,+IR,11,43,7,30,11,94,11,29,5,31,9,47,IR,AT1G12320,AT1G62840,AT1G12320-AT1G628401-2+IR,167,29,107,25,both,0.0599921652023057
AT3G51150-AT5G66310,3-4,3-4,-ALTA,7,165,5,110,15,197,3,18,2,24,6,54,ALTA,AT3G51150,AT5G66310,AT3G51150-AT5G663103-4-ALTA,472,27,96,11,both,0.0573799435028249
AT1G15570-AT1G80370,9-10,9-10,+IR,9,11,3,26,2,45,3,4,1,7,1,11,IR,AT1G15570,AT1G80370,AT1G15570-AT1G803709-10+IR,82,14,22,5,both,0.0565410199556541
AT3G06140-AT5G19080,2-3,2-3,+IR,4,32,2,46,10,79,2,30,5,38,13,60,IR,AT3G06140,AT5G19080,AT3G06140-AT5G190802-3+IR,157,16,128,20,both,0.0543391719745223
