pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT2G32160-AT2G32170,9-10,10-11,-ALTA,0,248,0,194,0,278,110,0,105,0,151,1,ALTA,AT2G32160,AT2G32170,AT2G32160-AT2G321709-10-ALTA,720,0,1,366,one,366
AT2G33110-AT2G33120,1-2,1-2,-ALTD,0,31,0,23,0,53,652,11,778,4,1300,9,ALTD,AT2G33110,AT2G33120,AT2G33110-AT2G331201-2-ALTD,107,0,24,2730,one,113.75
AT5G61060-AT5G61070,6-7,6-7,-ALTD,115,3,136,0,205,2,0,3,0,6,0,22,ALTD,AT5G61060,AT5G61070,AT5G61060-AT5G610706-7-ALTD,5,456,31,0,one,91.2
AT3G61990-AT3G62000,8-9,8-9,-ALTD,0,41,0,24,0,34,105,2,95,3,194,3,ALTD,AT3G61990,AT3G62000,AT3G61990-AT3G620008-9-ALTD,99,0,8,394,one,49.25
AT3G47350-AT3G47360,1-2,1-2,+IR,0,3,0,9,0,7,91,0,65,5,103,2,IR,AT3G47350,AT3G47360,AT3G47350-AT3G473601-2+IR,19,0,7,259,one,37
AT2G30750-AT2G30770,3-4,3-4,+IR,0,11,0,1,0,4,24,1,26,0,43,3,IR,AT2G30750,AT2G30770,AT2G30750-AT2G307703-4+IR,16,0,4,93,one,23.25
AT4G00960-AT4G00970,3-4,4-5,+ALTD;+ALTA,2,0,2,0,12,1,0,149,0,134,0,193,ALTP,AT4G00960,AT4G00970,AT4G00960-AT4G009703-4+ALTD;+ALTA,1,16,476,0,one,16
AT1G20693-AT1G20696,6-7,6-7,-ALTD;+ALTA,0,1588,0,2080,0,2791,1339,126,2036,131,2797,250,ALTP,AT1G20693,AT1G20696,AT1G20693-AT1G206966-7-ALTD;+ALTA,6459,0,507,6172,one,12.1735700197239
AT1G66690-AT1G66700,1-2,1-2,+IR,2,0,5,0,5,1,0,0,0,0,0,1,IR,AT1G66690,AT1G66700,AT1G66690-AT1G667001-2+IR,1,12,1,0,one,12
AT1G75880-AT1G75890,2-3,2-3,-ALTD,35,6,28,1,66,9,0,3,0,3,0,3,ALTD,AT1G75880,AT1G75890,AT1G75880-AT1G758902-3-ALTD,16,129,9,0,one,8.0625
AT2G02380-AT2G02390,3-4,3-4,-ALTA,0,3,0,1,0,3,183,28,217,26,308,38,ALTA,AT2G02380,AT2G02390,AT2G02380-AT2G023903-4-ALTA,7,0,92,708,one,7.69565217391304
AT4G15215-AT4G15230,8-9,8-9,+ALTA,9,3,3,0,12,3,0,0,0,3,0,3,ALTA,AT4G15215,AT4G15230,AT4G15215-AT4G152308-9+ALTA,6,24,6,0,one,4
