pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT1G71270-AT1G71300,18-19,17-18,+IR,7,211,3,196,2,305,1,0,3,1,2,0,IR,AT1G71270,AT1G71300,AT1G71270-AT1G7130018-19+IR,712,12,1,6,both,5.98314606741573
AT1G30410-AT1G30420,24-25,22-23,+IR,2,66,3,68,5,91,33,6,21,6,32,11,IR,AT1G30410,AT1G30420,AT1G30410-AT1G3042024-25+IR,225,10,23,86,both,3.69468599033816
AT1G75880-AT1G75890,1-2,1-2,+IR,5,39,3,42,7,91,14,3,5,3,7,2,IR,AT1G75880,AT1G75890,AT1G75880-AT1G758901-2+IR,172,15,8,26,both,3.16279069767442
AT3G59320-AT3G59330,2-3,1-2,+IR,11,44,7,22,8,53,101,19,53,30,86,24,IR,AT3G59320,AT3G59330,AT3G59320-AT3G593302-3+IR,119,26,73,240,both,3.06918383791873
AT5G61940-AT5G61950,3-4,3-4,+IR,16,0,2,1,11,10,1,25,3,15,5,39,IR,AT5G61940,AT5G61950,AT5G61940-AT5G619503-4+IR,11,29,79,9,both,2.52243958573072
AT4G36270-AT4G36280,14-15,14-15,+IR,18,4,17,5,49,17,17,7,9,16,26,23,IR,AT4G36270,AT4G36280,AT4G36270-AT4G3628014-15+IR,26,84,46,52,both,2.10033444816054
AT5G57565-AT5G57630,2-3,3-4,+IR,61,26,91,45,85,31,30,97,44,235,35,145,IR,AT5G57565,AT5G57630,AT5G57565-AT5G576302-3+IR,102,237,477,109,both,2.09501788136638
AT3G03330-AT3G03350,7-8,7-8,+IR,8,182,7,186,4,252,78,24,33,25,64,42,IR,AT3G03330,AT3G03350,AT3G03330-AT3G033507-8+IR,620,19,91,175,both,1.8924317617866
AT5G65050-AT5G65060,3-4,3-4,+IR,236,104,237,89,355,130,61,69,52,72,95,134,IR,AT5G65050,AT5G65060,AT5G65050-AT5G650603-4+IR,323,828,275,208,both,1.80710385589643
AT4G13870-AT4G13885,4-5,5-6,+IR,8,22,3,43,4,54,28,6,17,10,20,20,IR,AT4G13870,AT4G13885,AT4G13870-AT4G138854-5+IR,119,15,36,65,both,1.67950513538749
AT1G76520-AT1G76530,6-7,6-7,+IR,45,286,27,242,37,328,17,12,8,3,25,13,IR,AT1G76520,AT1G76530,AT1G76520-AT1G765306-7+IR,856,109,28,50,both,1.65837783711616
