pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT5G28320-AT5G28400,11-12,8-9,+IR,140,47,263,41,269,64,141,65,262,48,272,77,IR,AT5G28320,AT5G28400,AT5G28320-AT5G2840011-12+IR,152,672,190,675,both,0.868421052631579
AT1G14120-AT1G14130,2-3,2-3,+IR,3,3,1,6,2,3,12,53,10,57,14,82,IR,AT1G14120,AT1G14130,AT1G14120-AT1G141302-3+IR,12,6,192,36,both,0.3125
AT3G48780-AT3G48790,9-10,5-6,+IR,82,198,62,278,150,362,1,4,1,3,3,1,IR,AT3G48780,AT3G48790,AT3G48780-AT3G487909-10+IR,838,294,8,5,both,0.274164677804296
AT5G36670-AT5G36740,5-6,5-6,+IR,9,8,6,5,6,9,9,9,7,6,6,15,IR,AT5G36670,AT5G36740,AT5G36670-AT5G367405-6+IR,22,21,30,22,both,0.221212121212121
AT5G04680-AT5G04700,3-4,3-4,+IR,5,13,5,8,3,32,5,10,2,4,2,6,IR,AT5G04680,AT5G04700,AT5G04680-AT5G047003-4+IR,53,13,20,9,both,0.204716981132075
AT1G56130-AT1G56140,11-12,11-12,+IR,1,3,1,4,1,7,6,55,6,49,3,57,IR,AT1G56130,AT1G56140,AT1G56130-AT1G5614011-12+IR,14,3,161,15,both,0.12111801242236
AT1G27170-AT1G27180,3-4,4-5,+IR,1,19,1,13,1,11,4,17,2,20,4,23,IR,AT1G27170,AT1G27180,AT1G27170-AT1G271803-4+IR,43,3,60,10,both,0.0968992248062015
AT1G08890-AT1G08900,7-8,7-8,+IR,5,31,6,51,2,62,33,142,36,262,44,287,IR,AT1G08890,AT1G08900,AT1G08890-AT1G089007-8+IR,144,13,691,113,both,0.0732533365492844
AT1G63470-AT1G63480,2-3,2-3,+IR,7,36,4,42,12,83,2,21,1,15,3,47,IR,AT1G63470,AT1G63480,AT1G63470-AT1G634802-3+IR,161,23,83,6,both,0.0705679862306368
AT1G65790-AT1G65800,4-5,4-5,+IR,10,47,11,36,8,61,57,405,54,490,85,590,IR,AT1G65790,AT1G65800,AT1G65790-AT1G658004-5+IR,144,29,1485,196,both,0.0694023569023569
AT1G27360-AT1G27370,1-2,1-2,+IR,7,90,1,40,3,99,6,48,1,25,8,72,IR,AT1G27360,AT1G27370,AT1G27360-AT1G273701-2+IR,229,11,145,15,both,0.0554133413642524
AT5G65050-AT5G65060,1-2,1-2,+IR,45,245,33,221,46,334,17,70,12,64,24,123,IR,AT5G65050,AT5G65060,AT5G65050-AT5G650601-2+IR,800,124,257,53,both,0.0512256809338521
AT5G28320-AT5G28400,11-12,8-9,+ALTD,45,142,36,268,62,271,63,143,45,265,70,279,ALTD,AT5G28320,AT5G28400,AT5G28320-AT5G2840011-12+ALTD,681,143,687,178,both,0.0491122097608833
