pair	j1	j2	class	g1r1alt	g1r1cons	g1r2alt	g1r2cons	g1r3alt	g1r3cons	g2r1alt	g2r1cons	g2r2alt	g2r2cons	g2r3alt	g2r3cons	class2	pair_1	pair_2	uniqID	g1_all_cons	g1_all_alts	g2_all_cons	g2_all_alts	one_gene_alts_only
4	AT3G59320-AT3G59330	2-3	1-2	+IR	11	44	7	22	8	53	101	19	53	30	86	24	IR	AT3G59320	AT3G59330	AT3G59320-AT3G593302-3+IR	119	26	73	240	both
17	AT1G29350-AT1G29370	1-2	1-2	+IR	5	388	4	476	4	828	5	287	4	388	3	664	IR	AT1G29350	AT1G29370	AT1G29350-AT1G293701-2+IR	1692	13	1339	12	both
22	AT1G29350-AT1G29370	7-8	7-8	-ALTA	43	256	59	279	129	410	49	258	67	265	135	447	ALTA	AT1G29350	AT1G29370	AT1G29350-AT1G293707-8-ALTA	945	231	970	251	both
23	AT1G29350-AT1G29370	8-9	8-9	+IR	2	359	1	364	10	617	2	363	1	334	10	591	IR	AT1G29350	AT1G29370	AT1G29350-AT1G293708-9+IR	1340	13	1288	13	both
24	AT1G29350-AT1G29370	9-10	9-10	+IR	1	323	3	349	4	590	1	390	2	416	4	749	IR	AT1G29350	AT1G29370	AT1G29350-AT1G293709-10+IR	1262	8	1555	7	both
26	AT2G43820-AT2G43840	1-2	1-2	+IR	12	203	28	408	36	384	3	1	1	7	3	14	IR	AT2G43820	AT2G43840	AT2G43820-AT2G438401-2+IR	995	76	22	7	both
32	AT2G32160-AT2G32170	11-12	12-13	+IR	78	298	50	238	36	319	20	266	9	214	15	330	IR	AT2G32160	AT2G32170	AT2G32160-AT2G3217011-12+IR	855	164	810	44	both
34	AT2G32160-AT2G32170	12-13	13-14	-ALTA	4	396	1	352	1	509	7	167	6	189	16	265	ALTA	AT2G32160	AT2G32170	AT2G32160-AT2G3217012-13-ALTA	1257	6	621	29	both
38	AT3G48050-AT3G48060	1-2	2-3	+ALTA	3	82	11	70	27	139	6	62	11	61	27	148	ALTA	AT3G48050	AT3G48060	AT3G48050-AT3G480601-2+ALTA	291	41	271	44	both
40	AT4G16940-AT4G16960	1-2	1-2	+IR	5	8	7	11	2	16	6	8	7	11	2	16	IR	AT4G16940	AT4G16960	AT4G16940-AT4G169601-2+IR	35	14	35	15	both
58	AT3G47890-AT3G47910	6-7	6-7	-ALTA	2	127	2	86	1	144	66	184	44	88	99	155	ALTA	AT3G47890	AT3G47910	AT3G47890-AT3G479106-7-ALTA	357	5	427	209	both
76	AT4G15760-AT4G15765	1-2	1-2	+IR	8	176	8	640	19	425	11	4	7	17	9	12	IR	AT4G15760	AT4G15765	AT4G15760-AT4G157651-2+IR	1241	35	33	27	both
85	AT1G14870-AT1G14880	3-4	3-4	+IR	9	120	5	116	9	117	3	263	2	132	2	221	IR	AT1G14870	AT1G14880	AT1G14870-AT1G148803-4+IR	353	23	616	7	both
125	AT1G20693-AT1G20696	6-7	6-7	+IR	8	1580	20	2060	26	2765	126	1339	131	2036	250	2797	IR	AT1G20693	AT1G20696	AT1G20693-AT1G206966-7+IR	6405	54	6172	507	both
146	AT4G28860-AT4G28880	7-8	8-9	+IR	2	248	1	307	1	420	35	530	34	622	22	803	IR	AT4G28860	AT4G28880	AT4G28860-AT4G288807-8+IR	975	4	1955	91	both
147	AT4G28860-AT4G28880	7-8	8-9	-ALTA	3	247	3	305	9	412	16	549	13	643	13	812	ALTA	AT4G28860	AT4G28880	AT4G28860-AT4G288807-8-ALTA	964	15	2004	42	both
152	AT4G28860-AT4G28880	11-12	12-13	+IR	6	351	6	338	12	510	1	278	5	322	3	425	IR	AT4G28860	AT4G28880	AT4G28860-AT4G2888011-12+IR	1199	24	1025	9	both
153	AT4G28860-AT4G28880	12-13	13-14	+IR	3	346	18	363	16	536	11	354	26	437	19	532	IR	AT4G28860	AT4G28880	AT4G28860-AT4G2888012-13+IR	1245	37	1323	56	both
159	AT2G17320-AT2G17340	1-2	1-2	+IR	88	118	52	118	106	226	78	303	61	313	125	526	IR	AT2G17320	AT2G17340	AT2G17320-AT2G173401-2+IR	462	246	1142	264	both
162	AT2G17320-AT2G17340	6-7	6-7	+IR	1	166	1	152	1	305	14	475	4	512	15	706	IR	AT2G17320	AT2G17340	AT2G17320-AT2G173406-7+IR	623	3	1693	33	both
163	AT2G17320-AT2G17340	6-7	6-7	-ALTA	10	157	7	146	27	279	10	479	2	514	12	709	ALTA	AT2G17320	AT2G17340	AT2G17320-AT2G173406-7-ALTA	582	44	1702	24	both
169	AT2G17320-AT2G17340	11-12	11-12	+IR	7	62	7	87	32	153	9	424	8	367	6	678	IR	AT2G17320	AT2G17340	AT2G17320-AT2G1734011-12+IR	302	46	1469	23	both
171	AT2G33110-AT2G33120	1-2	1-2	+IR	6	25	2	21	2	51	10	653	4	778	7	1302	IR	AT2G33110	AT2G33120	AT2G33110-AT2G331201-2+IR	97	10	2733	21	both
