pair	j1	j2	class	g1r1alt	g1r1cons	g1r2alt	g1r2cons	g1r3alt	g1r3cons	g2r1alt	g2r1cons	g2r2alt	g2r2cons	g2r3alt	g2r3cons	Locus1	Locus2
AT2G25310-AT4G32130	3-4	3-4	+IR	24	298	10	348	18	554	23	235	11	257	51	416	CDS	CDS
AT2G25310-AT4G32130	4-5	4-5	+IR	5	542	2	604	5	1002	0	274	0	323	0	533	CDS	CDS
AT2G25310-AT4G32130	6-7	6-7	+IR	5	432	9	455	14	735	56	283	43	239	64	461	CDS	CDS
AT3G11270-AT5G05780	1-2	1-2	+IR	0	108	0	136	0	206	6	602	2	573	5	1095	CDS	CDS
AT3G11270-AT5G05780	3-4	3-4	+IR	1	103	1	101	4	195	9	410	1	424	3	821	CDS	CDS
AT3G11270-AT5G05780	5-6	5-6	+IR	1	98	3	125	9	210	3	432	1	440	2	730	CDS	CDS
AT3G11270-AT5G05780	6-7	6-7	+IR	0	128	0	117	0	212	3	290	6	345	10	608	CDS	CDS
AT3G11270-AT5G05780	7-8	7-8	+IR	0	78	0	66	0	151	36	381	21	385	41	586	CDS	CDS
AT3G11270-AT5G05780	9-10	9-10	+IR	0	70	0	79	0	174	2	424	3	415	5	731	CDS	CDS
AT1G11170-AT1G61240	12-13	11-12	+IR	0	11	0	13	0	18	6	153	1	94	1	219	CDS	CDS
AT1G11170-AT1G61240	13-14	12-13	+IR	7	9	1	17	3	6	5	129	1	91	4	218	CDS	CDS
AT1G14400-AT2G02760	4-5	4-5	+IR	7	882	8	1142	10	1689	0	565	0	739	0	1032	CDS	CDS
AT1G14400-AT2G02760	5-6	5-6	+IR	7	913	6	1128	14	1728	3	713	3	915	13	1213	CDS	CDS
AT4G19410-AT5G45280	2-3	2-3	+IR	57	558	36	648	86	1375	24	301	28	378	40	646	CDS	CDS
AT4G19410-AT5G45280	4-5	4-5	+IR	1	507	3	488	2	764	0	237	0	275	0	379	CDS	CDS
AT4G19410-AT5G45280	6-7	6-7	+IR	5	491	1	458	1	752	0	333	0	370	0	588	CDS	CDS
AT4G19410-AT5G45280	7-8	7-8	+IR	48	561	92	544	69	1081	0	340	0	369	0	629	CDS	CDS
AT4G19410-AT5G45280	7-8	7-8	+ALTA	1	608	2	634	1	1149	0	340	0	369	0	629	CDS	CDS
AT4G19410-AT5G45280	7-8	7-8	-ALTA	6	603	5	631	8	1142	0	340	0	369	0	629	CDS	CDS
AT4G19410-AT5G45280	10-11	10-11	+IR	2	739	4	663	8	1230	0	345	0	420	0	606	CDS	CDS
AT4G19410-AT5G45280	11-12	11-12	+IR	15	451	5	410	9	702	0	264	0	290	0	490	CDS	CDS
AT4G19410-AT5G45280	12-13	12-13	+IR	14	442	1	328	4	561	7	333	5	311	15	468	CDS	CDS
AT3G07340-AT5G48560	2-3	2-3	+IR	5	61	4	75	4	130	0	8	0	12	0	5	CDS	CDS
AT5G10740-AT5G24940	8-9	7-8	+IR	5	29	1	31	1	56	0	0	0	0	0	0	CDS	CDS
AT4G11010-AT4G23900	1-2	1-2	-ALTA	2	1929	2	1391	8	3523	0	52	0	28	0	72	CDS	CDS
AT4G11010-AT4G23900	1-2	1-2	+IR	8	1923	1	1392	9	3522	7	45	4	24	3	69	CDS	CDS
AT4G11010-AT4G23900	4-5	4-5	+IR	9	2863	2	1979	10	4185	0	58	0	55	0	95	CDS	CDS
AT4G11010-AT4G23900	5-6	5-6	+IR	3	3030	6	2245	11	5138	4	39	3	55	10	121	CDS	CDS
AT4G11010-AT4G23900	6-7	6-7	+IR	4	1768	6	1230	7	2885	0	28	0	53	0	130	CDS	CDS
AT2G21580-AT4G39200	2-3	2-3	-ALTA	0	4112	0	3098	0	10574	6	4286	7	3557	8	9763	CDS	CDS
AT2G21580-AT4G39200	2-3	2-3	+IR	31	4081	27	3071	69	10505	20	4272	20	3544	47	9724	CDS	CDS
AT2G21580-AT4G39200	3-4	3-4	+IR	13	2664	4	1882	22	5216	60	5141	43	4292	102	10625	CDS	CDS
AT2G36460-AT3G52930	2-3	2-3	+IR	70	853	58	989	120	1727	1	2043	1	1654	9	3839	CDS	CDS
AT3G44280-AT5G22280	2-3	2-3	-ALTA	0	178	0	198	0	356	233	59	187	37	377	91	CDS	CDS
AT3G44280-AT5G22280	2-3	2-3	+IR	23	155	29	169	30	326	59	233	36	188	86	382	CDS	CDS
AT3G01540-AT5G14610	5-6	7-8	+IR	7	1032	3	1420	5	2122	0	87	0	90	0	191	CDS	CDS
AT3G01540-AT5G14610	5-6	7-8	-ALTD	4	1035	13	1410	21	2106	0	87	0	90	0	191	CDS	CDS
AT3G01540-AT5G14610	6-7	8-9	+IR	0	839	0	1010	0	1625	4	53	1	84	7	129	CDS	CDS
AT3G01540-AT5G14610	7-8	9-10	+IR	2	607	1	686	1	1101	2	104	3	78	4	174	CDS	CDS
AT3G01540-AT5G14610	8-9	10-11	+ALTA	0	721	0	872	0	1454	6	82	19	102	38	188	CDS	CDS
AT3G01540-AT5G14610	8-9	10-11	-ALTA	337	384	371	501	653	801	0	88	0	121	0	226	CDS	CDS
AT3G01540-AT5G14610	8-9	10-11	+IR	8	713	2	870	9	1445	7	81	7	114	2	224	CDS	CDS
AT3G02520-AT5G16050	2-3	2-3	+IR	0	541	0	545	0	952	1	656	1	683	1	1085	CDS	CDS
AT3G02520-AT5G16050	3-4	3-4	+IR	0	593	0	596	0	1183	35	904	33	805	82	1449	CDS	CDS
AT1G18800-AT1G74560	1-2	1-2	+IR	1	387	2	263	3	688	5	1359	1	921	12	2550	CDS	CDS
AT1G18800-AT1G74560	5-6	5-6	+IR	7	385	2	221	7	576	0	1176	0	773	0	1995	CDS	CDS
AT1G18800-AT1G74560	9-10	9-10	+IR	2	444	1	273	4	802	5	1470	4	1125	14	3063	CDS	CDS
AT2G24570-AT4G31550	1-2	1-2	-ALTA	0	197	0	184	0	292	199	128	297	144	382	319	CDS	CDS
AT2G24570-AT4G31550	1-2	1-2	+IR	35	162	41	143	70	222	96	231	77	364	234	467	CDS	CDS
AT2G24570-AT4G31550	2-3	2-3	+IR	15	196	23	140	41	265	27	180	32	388	111	528	CDS	CDS
AT4G26590-AT5G55930	2-3	2-3	+IR	2	0	2	0	3	0	0	22	0	11	0	39	CDS	CDS
AT4G26590-AT5G55930	3-4	3-4	+IR	5	0	13	0	13	0	0	34	0	19	0	55	CDS	CDS
AT4G26590-AT5G55930	4-5	4-5	+IR	27	1	30	2	40	3	0	11	0	25	0	48	CDS	CDS
AT4G26590-AT5G55930	4-5	4-5	-ALTA;+ALTD	1	27	2	30	3	40	0	11	0	25	0	48	CDS	CDS
AT1G21590-AT1G77280	1-2	2-3	+IR	7	448	6	392	19	892	0	37	0	20	0	54	CDS	CDS
AT1G21590-AT1G77280	2-3	3-4	+IR	3	534	6	457	5	934	0	42	0	22	0	76	CDS	CDS
AT1G21590-AT1G77280	3-4	4-5	-ALTA	0	392	0	270	0	658	45	0	22	0	59	0	CDS	CDS
AT1G21590-AT1G77280	4-5	5-6	+IR	14	457	2	324	15	644	0	50	0	33	0	54	CDS	CDS
AT1G21590-AT1G77280	5-6	6-7	+IR	61	437	38	309	92	676	0	33	0	19	0	62	CDS	CDS
AT1G21590-AT1G77280	5-6	6-7	+ALTA	3	495	1	346	5	763	0	33	0	19	0	62	CDS	CDS
AT1G21590-AT1G77280	6-7	7-8	+IR	8	527	3	344	5	737	0	49	0	21	0	74	CDS	CDS
AT1G21590-AT1G77280	7-8	8-9	+IR	37	493	23	328	49	645	0	61	0	33	0	53	CDS	CDS
AT1G21590-AT1G77280	8-9	9-10	+IR	6	546	12	450	21	1030	0	51	0	35	0	68	CDS	CDS
AT1G21590-AT1G77280	8-9	9-10	-ALTD	1	551	3	459	1	1050	0	51	0	35	0	68	CDS	CDS
AT1G21590-AT1G77280	8-9	9-10	+ALTA	1	551	2	460	4	1047	0	51	0	35	0	68	CDS	CDS
AT1G21590-AT1G77280	9-10	10-11	+IR	14	767	2	562	5	1341	0	47	0	26	0	80	CDS	CDS
AT1G54270-AT3G13920	2-3	2-3	+IR	0	1373	0	1031	0	2669	2	3375	5	2942	19	7400	CDS	CDS
AT1G54270-AT3G13920	3-4	3-4	+IR	0	936	0	549	0	1467	4	3126	1	2556	4	6146	CDS	CDS
AT1G54270-AT3G13920	4-5	4-5	+ALTA;-ALTD	0	1345	0	892	0	2106	2	3408	1	2623	1	6026	CDS	CDS
AT1G54270-AT3G13920	4-5	4-5	+IR	8	1337	4	888	10	2096	3	3407	2	2622	6	6021	CDS	CDS
AT4G12460-AT4G22540	1-2	1-2	+ALTA;+ALTD	0	119	0	105	0	163	62	271	65	279	60	341	CDS	CDS
AT4G12460-AT4G22540	1-2	1-2	+ALTD;+ALTA	10	109	3	102	10	153	0	333	0	344	0	401	CDS	CDS
AT4G12460-AT4G22540	1-2	1-2	+ALTD	19	100	7	98	9	154	158	175	191	153	214	187	CDS	CDS
AT4G12460-AT4G22540	1-2	1-2	+ALTA	14	105	16	89	25	138	5	328	4	340	7	394	CDS	CDS
AT4G12460-AT4G22540	1-2	1-2	+IR	36	83	24	81	59	104	40	293	37	307	48	353	CDS	CDS
AT4G12460-AT4G22540	4-5	4-5	+IR	5	95	4	94	3	113	0	165	0	242	0	247	CDS	CDS
AT4G12460-AT4G22540	4-5	4-5	+ALTA	4	96	8	90	12	104	0	165	0	242	0	247	CDS	CDS
AT4G12460-AT4G22540	5-6	5-6	+IR	21	103	26	129	23	167	3	275	8	335	17	415	CDS	CDS
AT4G12460-AT4G22540	5-6	5-6	-ALTA	15	109	5	150	7	183	24	254	16	327	29	403	CDS	CDS
AT4G12460-AT4G22540	6-7	6-7	+ALTD	0	73	0	64	0	94	1	184	2	302	6	325	CDS	CDS
AT4G12460-AT4G22540	7-8	7-8	+IR	0	101	0	75	0	124	7	248	7	332	3	403	CDS	CDS
AT4G12460-AT4G22540	8-9	8-9	-ALTA	10	121	18	142	15	224	0	207	0	335	0	489	CDS	CDS
AT4G12460-AT4G22540	8-9	8-9	+IR	36	95	35	125	64	175	5	202	3	332	2	487	CDS	CDS
AT4G12460-AT4G22540	9-10	9-10	+IR	5	152	5	161	9	313	11	291	29	512	36	689	CDS	CDS
AT3G09980-AT5G03660	1-2	1-2	+IR	18	752	20	958	28	1729	1	746	1	874	1	1531	CDS	CDS
AT3G09980-AT5G03660	2-3	2-3	+IR	0	839	0	971	0	1728	2	891	3	1013	10	1749	CDS	CDS
AT1G29250-AT2G34160	1-2	1-2	+IR	5	807	2	400	5	1218	12	263	14	226	35	466	CDS	CDS
AT1G29250-AT2G34160	2-3	2-3	+IR	10	815	3	419	10	1247	0	251	0	193	0	432	CDS	CDS
AT1G29250-AT2G34160	3-4	3-4	+IR	1	799	1	421	1	1218	0	345	0	380	0	728	CDS	CDS
AT4G27180-AT5G54670	2-3	2-3	+IR	9	211	6	189	13	299	0	11	0	18	0	15	CDS	CDS
AT4G27180-AT5G54670	5-6	5-6	+IR	3	166	1	128	4	191	0	38	0	32	0	49	CDS	CDS
AT4G27180-AT5G54670	6-7	6-7	+IR	4	165	2	185	3	266	0	9	0	11	0	31	CDS	CDS
AT4G27180-AT5G54670	9-10	9-10	+IR	6	165	2	199	3	253	0	26	0	20	0	38	CDS	CDS
AT4G27180-AT5G54670	13-14	13-14	+IR	11	242	12	264	18	375	0	17	0	19	0	41	CDS	CDS
AT4G27180-AT5G54670	15-16	15-16	+IR	7	206	2	244	2	377	0	42	0	38	0	92	CDS	CDS
AT3G01500-AT5G14740	4-5	5-6	+ALTA;-ALTD	4	43617	1	34266	3	72370	0	25283	0	23376	0	43246	CDS	CDS
AT3G01500-AT5G14740	4-5	5-6	-ALTA	1	43620	1	34266	7	72366	0	25283	0	23376	0	43246	CDS	CDS
AT3G01500-AT5G14740	4-5	5-6	+IR	43	43578	10	34257	95	72278	210	25073	107	23269	368	42878	CDS	CDS
AT3G01500-AT5G14740	5-6	6-7	-ALTD	0	65936	0	50402	0	109149	4	23268	1	21116	3	38798	CDS	CDS
AT3G01500-AT5G14740	5-6	6-7	-ALTA	0	65936	0	50402	0	109149	24	23248	6	21111	9	38792	CDS	CDS
AT3G01500-AT5G14740	5-6	6-7	+IR	656	65280	160	50242	821	108328	482	22790	234	20883	737	38064	CDS	CDS
AT3G01500-AT5G14740	6-7	7-8	+IR	75	61577	15	48209	112	104380	766	25663	387	23463	1611	44223	CDS	CDS
AT3G01500-AT5G14740	7-8	8-9	-ALTA	3	43158	4	35988	7	77942	0	25496	0	23637	0	45099	CDS	CDS
AT3G01500-AT5G14740	7-8	8-9	+IR	436	42725	81	35911	449	77500	1369	24127	845	22792	2920	42179	CDS	CDS
AT3G01500-AT5G14740	8-9	9-10	-ALTD	52	54926	28	44378	50	95640	0	28780	0	26549	0	50233	CDS	CDS
AT3G01500-AT5G14740	8-9	9-10	+ALTA	2	54976	1	44405	1	95689	0	28780	0	26549	0	50233	CDS	CDS
AT3G01500-AT5G14740	8-9	9-10	+IR	1687	53291	729	43677	2161	93529	525	28255	259	26290	881	49352	CDS	CDS
AT3G01500-AT5G14740	8-9	9-10	-ALTA	88	54890	60	44346	123	95567	9	28771	8	26541	14	50219	CDS	CDS
AT1G20380-AT1G76140	1-2	1-2	-ALTA	0	9	0	3	0	17	1	204	1	255	5	476	CDS	CDS
AT1G20380-AT1G76140	2-3	2-3	+IR	5	28	1	22	9	54	0	232	0	216	0	340	CDS	CDS
AT1G20380-AT1G76140	3-4	3-4	+ALTD	0	52	0	20	0	71	2	232	6	236	9	449	CDS	CDS
AT1G20380-AT1G76140	3-4	3-4	+IR	0	52	0	20	0	71	3	231	8	234	5	453	CDS	CDS
AT1G20380-AT1G76140	9-10	10-11	+IR	0	31	0	22	0	47	30	231	36	195	55	392	CDS	CDS
AT2G46610-AT3G61860	2-3	2-3	+ALTA	0	172	0	166	0	281	54	481	71	434	91	767	CDS	CDS
AT2G46610-AT3G61860	2-3	2-3	+ALTD	13	159	7	159	22	259	1	534	5	500	2	856	CDS	CDS
AT2G46610-AT3G61860	2-3	2-3	+IR	118	54	126	40	206	75	266	269	186	319	368	490	CDS	CDS
AT2G46610-AT3G61860	3-4	3-4	+ALTA	0	77	0	59	0	85	7	236	3	242	1	364	CDS	CDS
AT5G07320-AT5G61810	1-2	1-2	+IR	7	108	7	48	13	153	0	204	0	195	0	317	CDS	CDS
AT5G07320-AT5G61810	1-2	1-2	+ALTA	8	107	1	54	7	159	0	204	0	195	0	317	CDS	CDS
AT5G07320-AT5G61810	2-3	2-3	+IR	0	79	0	51	0	127	3	124	5	145	7	177	CDS	CDS
AT5G07320-AT5G61810	3-4	3-4	-ALTD	2	122	1	66	1	172	0	150	0	154	0	221	CDS	CDS
AT3G05580-AT5G27840	1-2	1-2	+IR	9	37	12	38	19	56	18	229	19	245	27	370	CDS	CDS
AT3G05580-AT5G27840	2-3	2-3	+IR	0	68	0	73	0	91	2	301	6	319	13	497	CDS	CDS
AT4G17486-AT5G47310	2-3	2-3	+IR	0	206	0	281	0	385	79	237	58	253	88	402	CDS	CDS
AT2G45010-AT5G51400	2-3	3-4	+IR	0	122	0	126	0	244	2	441	1	525	2	802	CDS	CDS
AT2G20530-AT4G28510	5-6	5-6	+IR	1	527	1	322	1	749	0	263	0	166	0	420	CDS	CDS
AT1G05570-AT2G31960	3-4	3-4	-ALTD	0	4	0	10	0	17	1	80	3	80	3	118	CDS	CDS
AT1G05570-AT2G31960	17-18	17-18	+IR	0	12	0	12	0	26	1	133	1	131	3	244	CDS	CDS
