uniqID,pair,j1,j2,class,quant_con,qual_con
AT1G01050-AT4G014806-7+IR,AT1G01050-AT4G01480,6-7,6-7,+IR,N,N
AT1G01050-AT4G014807-8+IR,AT1G01050-AT4G01480,7-8,7-8,+IR,N,N
AT1G01060-AT2G468305-6+ALTD,AT1G01060-AT2G46830,5-6,4-5,+ALTD,N,N
AT1G01060-AT2G468305-6+IR,AT1G01060-AT2G46830,5-6,4-5,+IR,N,Y
AT1G01160-AT4G008503-4+IR,AT1G01160-AT4G00850,3-4,2-3,+IR,N,N
AT1G01430-AT4G010802-3-ALTA,AT1G01430-AT4G01080,2-3,2-3,-ALTA,N,N
AT1G01430-AT4G010802-3+IR,AT1G01430-AT4G01080,2-3,2-3,+IR,N,N
AT1G01440-AT4G010902-3+IR,AT1G01440-AT4G01090,2-3,2-3,+IR,N,N
AT1G01440-AT4G010903-4+IR,AT1G01440-AT4G01090,3-4,3-4,+IR,N,Y
AT1G01520-AT4G012805-6+IR,AT1G01520-AT4G01280,5-6,5-6,+IR,N,N
AT1G01540-AT4G013301-2+ALTA,AT1G01540-AT4G01330,1-2,1-2,+ALTA,N,N
AT1G01540-AT4G013301-2+IR,AT1G01540-AT4G01330,1-2,1-2,+IR,N,Y
AT1G01540-AT4G013302-3+IR,AT1G01540-AT4G01330,2-3,2-3,+IR,N,N
AT1G01540-AT4G013303-4+IR,AT1G01540-AT4G01330,3-4,3-4,+IR,N,Y
AT1G01540-AT4G013304-5-ALTA,AT1G01540-AT4G01330,4-5,4-5,-ALTA,N,N
AT1G01540-AT4G013304-5+IR,AT1G01540-AT4G01330,4-5,4-5,+IR,N,Y
AT1G01540-AT4G013305-6+IR,AT1G01540-AT4G01330,5-6,5-6,+IR,N,Y
AT1G01610-AT4G004001-2+IR,AT1G01610-AT4G00400,1-2,1-2,+IR,N,N
AT1G01610-AT4G004002-3+IR,AT1G01610-AT4G00400,2-3,2-3,+IR,N,Y
AT1G01610-AT4G004003-4+IR,AT1G01610-AT4G00400,3-4,3-4,+IR,Y,Y
AT1G01700-AT4G004602-3+IR,AT1G01700-AT4G00460,2-3,3-4,+IR,N,N
AT1G01700-AT4G004603-4+IR,AT1G01700-AT4G00460,3-4,4-5,+IR,N,Y
AT1G01700-AT4G004604-5+IR,AT1G01700-AT4G00460,4-5,5-6,+IR,N,N
