gene_name	A	B	C	Gene_Length
AT1G06620	126	168	161	1671
AT5G08160	1804	1670	3008	2552
AT4G22890	57479	55937	94930	2535
AT5G54067	0	0	0	545
AT2G34630	2088	1483	3353	3188
AT2G46660	654	332	987	2162
AT2G25590	780	637	1230	2870
AT1G43171	0	0	0	1439
AT5G25130	1313	2401	2562	1896
AT2G32280	17	11	28	1176
AT3G15020	1818	1057	2836	2181
AT1G58430	3	1	0	1539
AT5G01650	3398	3025	5881	1533
AT5G05570	1766	2012	2900	7364
AT5G02290	1610	2683	3024	2446
AT3G10210	929	975	1522	1378
AT5G06000	221	100	390	1704
AT5G64620	732	767	2028	669
AT1G75280	9285	8024	15594	1660
AT4G25040	0	0	0	1284
AT1G03010	34	23	36	2903
AT1G19850	657	543	1251	4496
AT3G56710	444	575	1203	816
AT1G30610	3246	2481	5798	3842
AT5G62660	0	0	0	1140
AT3G01516	0	1	0	751
AT3G01513	0	0	4	821
AT3G01510	2840	2720	4753	3064
AT4G33890	1050	671	1572	1737
AT2G44070	2	0	2	1447
AT1G74880	8028	8382	14129	1220
AT3G18420	2494	1555	3963	1161
AT1G06990	0	0	0	1766
AT3G14770	2830	2047	4741	2371
AT4G12460	1663	1813	2588	5233
AT5G05750	1142	1923	2032	1505
AT3G13740	3419	2998	5919	1967
AT1G75420	977	1062	1733	2207
AT1G70410	19772	19003	34814	4408
AT5G53140	9921	7148	16711	3998
AT4G13730	1386	1584	2472	3975
AT4G20130	5962	4966	10412	3059
AT2G24310	27	5	29	1153
AT5G61810	1578	1753	2886	2284
AT4G28440	2118	1578	3588	1399
AT4G30270	2538	2470	2052	1401
AT2G33620	1260	983	2350	2664
AT2G38630	827	711	1361	2513
AT2G29590	534	520	856	1002
AT5G11340	1156	930	2223	2147
AT2G31710	368	392	669	1332
AT2G36560	0	0	0	3305
AT5G15840	38	12	20	1577
AT1G36310	2409	1736	3997	1716
AT3G02090	18526	13795	29236	3363
AT1G04200	1262	1222	1974	4626
AT2G26810	450	381	808	2545
AT3G42940	0	0	0	582
AT2G44360	777	766	1255	965
AT4G31630	0	0	0	1878
AT5G11690	588	479	1127	1103
AT2G18440	8107	6020	12341	1470
AT4G20790	0	0	0	1649
AT5G61100	7	11	10	1158
AT4G36945	708	685	1197	2213
AT3G19460	876	889	1620	1938
AT4G36940	2794	2383	4365	3398
AT1G73140	25	18	54	1687
AT4G23440	560	628	1127	3062
AT2G05050	0	0	1	1050
AT3G07115	0	0	0	82
AT3G07110	9571	4891	16495	1510
AT1G72810	1022	781	1566	1827
AT5G23950	3	6	13	861
AT4G20860	1127	3014	2726	1846
AT2G41460	678	792	1206	3206
AT1G63810	1926	906	2968	6367
AT2G40590	3770	2090	7336	1375
AT1G68790	4890	4293	8761	4611
AT1G68795	50	16	95	798
AT3G25210	321	332	604	1492
AT2G39270	1054	1112	1729	1700
AT4G09750	506	500	858	2125
AT4G36360	9140	8787	19191	4920
AT2G19710	1025	1014	1637	3952
AT2G37380	179	152	457	1246
