gene_name	species	junct	class	A_alt	A_nrm	B_alt	B_nrm	C_alt	C_nrm	unique_code
AT1G06620	AT	2-3	IR	5	14	13	9	9	11	na:na:+:IR
AT5G08160	AT	1-2	IR	1	227	1	188	4	363	na:na:+:IR
AT5G08160	AT	2-3	IR	1	203	6	150	1	324	na:na:+:IR
AT5G08160	AT	5-6	IR	1	141	3	144	3	262	na:na:+:IR
AT4G22890	AT	1	CRIN	1	57478	1	55936	1	94929	12007191:12007260:-:CRIN
AT4G22890	AT	1	CRIN	4	57475	7	55930	8	94922	12007259:12007319:-:CRIN
AT4G22890	AT	1-2	ALTP	1	9112	5	9885	3	17125	12007355:12007355:-:ALTD;12007781:12007781:+:ALTA
AT4G22890	AT	1-2	ALTA	382	8731	406	9484	697	16431	12007782:12007787:-:ALTA
AT4G22890	AT	1-2	ALTA	52	9061	62	9828	80	17048	12007782:12007790:-:ALTA
AT4G22890	AT	1-2	IR	110	9003	59	9831	181	16947	na:na:+:IR
AT4G22890	AT	2-3	IR	50	10566	16	10127	71	16990	na:na:+:IR
AT4G22890	AT	3-4	ALTP	3	5339	1	5237	3	8592	12008086:12008089:-:ALTD;12008178:12008181:+:ALTA
AT4G22890	AT	3-4	IR	44	5298	26	5212	68	8527	na:na:+:IR
AT4G22890	AT	4-5	IR	21	8471	8	8103	32	13302	na:na:+:IR
AT4G22890	AT	5-6	IR	26	7320	24	6703	78	10478	na:na:+:IR
AT4G22890	AT	5-7	ALTA	7	57472	1	55936	2	94928	12008689:12008714:-:ALTA
AT4G22890	AT	6-7	IR	62	8415	24	7700	94	12383	na:na:+:IR
AT4G22890	AT	7-8	ALTD	4	7668	2	6924	5	11350	12008773:12008851:-:ALTD
AT4G22890	AT	7-8	IR	14	7658	4	6922	8	11347	na:na:+:IR
AT4G22890	AT	8-9	IR	219	6567	99	6219	376	10247	na:na:+:IR
AT4G22890	AT	9-10	ALTD	21	6155	12	5569	20	9315	12009181:12009185:-:ALTD
AT4G22890	AT	9-10	ALTA	590	5586	615	4966	935	8400	12009258:12009261:-:ALTA
AT4G22890	AT	9-10	ALTA	15	6161	14	5567	15	9320	12009258:12009267:-:ALTA
AT4G22890	AT	9-10	IR	75	6101	36	5545	135	9200	na:na:+:IR
AT4G22890	AT	5-7	SKIP	3	57476	5	55932	11	94919	5-7
AT2G34630	AT	1	CRIN	1	2087	3	1480	1	3352	14578587:14578685:-:CRIN
AT2G34630	AT	1-2	ALTA	23	186	22	103	38	242	14579334:14579336:+:ALTA
AT2G34630	AT	2-3	IR	3	203	9	154	27	301	na:na:+:IR
AT2G34630	AT	5-6	IR	1	296	2	175	1	443	na:na:+:IR
AT2G34630	AT	6-7	IR	3	302	7	180	15	413	na:na:+:IR
AT2G34630	AT	6-8	SKAD	1	2087	1	1482	4	3349	14580318:14580337:-:ALTD;14580705:14580735:-:ALTA
AT2G34630	AT	7-8	IR	5	198	8	134	15	317	na:na:+:IR
AT2G34630	AT	8-9	IR	16	242	2	183	17	341	na:na:+:IR
AT2G46660	AT	1-2	IR	9	59	1	22	4	102	na:na:+:IR
